,source,target,weight
326,867,452,0.1
327,98,1321,0.2
328,5552,5496,0.1
329,4407,4316,0.2
330,2885,2077,0.6
331,482,481,0.1
332,3523,692,-1.0
333,1447,896,0.1
334,5053,4850,0.1
335,1907,2459,0.1
336,791,832,0.3
337,2602,2876,0.2
338,2790,2028,0.1
339,1344,269,0.3
340,1764,2691,-1.0
341,4275,26,0.1
342,2359,483,-1.0
343,4901,4388,0.1
344,1981,2224,0.1
345,884,506,0.1
346,1333,2077,0.2
347,30,62,0.1
348,191,1082,0.1
349,2247,3668,-1.0
350,2125,2269,0.1
351,569,455,0.1
352,1647,2146,-0.1
353,1998,2822,0.1
354,4427,4444,0.2
355,684,1059,0.2
356,2279,1341,-1.0
357,2294,1893,0.2
358,1725,1814,0.9
359,1591,2377,0.2
360,5379,2446,-1.0
361,2497,2512,0.6
362,729,617,0.2
363,163,180,0.3
364,505,5064,0.3
365,403,844,0.2
366,5581,2119,-0.1
367,3294,2387,0.1
368,3800,2338,0.1
369,584,18,0.4
370,2379,1718,0.3
371,1482,1725,0.1
372,2020,2587,0.7
373,1160,1981,-0.1
374,2247,2369,0.1
375,159,415,0.1
376,1393,30,0.1
377,10,3117,0.1
378,3488,3477,1.0
379,4488,1786,0.1
380,26,3838,0.1
381,3145,26,0.1
382,438,450,0.4
383,1176,1578,0.1
384,1571,1609,0.1
385,3250,4092,0.3
386,4153,3826,0.1
387,0,1999,0.4
388,3894,3902,0.1
389,1226,864,0.1
390,688,1773,0.1
391,3841,5508,-0.3
392,3573,4514,0.1
393,4116,3659,0.2
394,791,853,0.7
395,142,98,0.1
396,1624,1850,0.2
397,2264,5001,0.1
398,1851,26,0.5
399,84,6,0.8
400,5388,4973,0.1
401,4466,5162,0.1
402,4769,26,0.1
403,3309,3312,-0.3
404,2413,4267,0.1
405,3079,2587,0.2
406,217,76,0.6
407,4277,2698,0.1
408,391,0,0.1
409,4699,4223,0.1
410,6,507,0.2
411,26,5380,0.1
412,1870,2545,0.1
413,2077,3277,0.1
414,3573,864,0.3
415,841,428,0.5
416,353,347,0.2
417,2876,1540,0.1
418,2623,2077,0.5
419,3379,5477,-1.0
420,4206,4775,0.1
421,3167,2587,0.5
422,3062,2630,0.1
423,3019,3263,0.1
424,98,3371,-0.7
425,1814,1981,0.7
426,3721,691,0.3
427,1374,26,0.1
428,4444,3378,0.2
429,1797,1728,0.5
430,1444,1765,0.1
431,2328,3921,0.1
432,1354,815,0.1
433,2016,2261,0.1
434,3643,3694,0.1
435,1998,35,0.1
436,1341,1176,0.7
437,1254,2587,0.1
438,69,11,0.4
439,1524,1672,0.2
440,3563,2953,0.1
441,2128,2160,0.1
442,88,18,0.1
443,3348,30,0.1
444,321,5433,0.3
445,344,356,0.2
446,4235,4683,0.1
447,4770,4791,0.1
448,371,159,0.1
449,2817,2592,0.1
450,4427,4548,0.2
451,2669,3150,0.3
452,488,26,0.3
453,79,17,0.1
454,1341,0,0.9
455,2338,3643,0.3
456,1725,805,0.1
457,734,1674,0.1
458,5162,240,0.5
459,666,674,0.4
460,5780,4206,0.5
461,2077,1594,0.1
462,1718,2881,0.1
463,4295,1870,0.1
464,3681,3719,-1.0
465,1469,1698,0.3
466,841,507,0.6
467,21,89,0.2
468,4901,4092,0.2
469,153,1321,0.6
470,1603,1522,1.0
471,1647,1876,0.1
472,3503,4403,0.2
473,2062,1643,0.1
474,1941,1240,0.1
475,455,1281,0.1
476,4123,2020,0.4
477,84,688,0.1
478,2247,2444,0.1
479,1764,4159,0.1
480,1764,2456,0.1
481,841,1344,0.3
482,4444,441,0.1
483,3776,3773,0.1
484,2220,1500,-1.0
485,3389,30,0.1
486,2902,2677,0.1
487,4235,429,0.2
488,549,185,0.1
489,2699,1957,0.1
490,26,282,0.1
491,2778,2974,0.1
492,1966,2964,0.2
493,2710,5444,0.1
494,3995,1907,0.5
495,3628,2884,1.0
496,5378,5453,0.1
497,122,6,0.3
498,1522,1486,0.1
499,4353,2587,0.1
500,5512,3579,0.2
501,4502,507,0.2
502,139,853,0.1
503,2953,3943,0.1
504,761,376,0.3
505,1021,941,0.1
506,2534,2511,0.1
507,500,2677,0.2
508,888,867,0.1
509,1710,1541,0.2
510,4128,2062,0.1
511,1227,1293,0.1
512,4211,4027,0.2
513,1866,3573,0.1
514,1415,1306,0.1
515,5355,2254,0.1
516,1981,2297,0.1
517,1764,3148,0.1
518,111,1571,0.5
519,3705,3773,0.2
520,1875,2005,0.1
521,2266,2587,0.2
522,5419,4829,0.1
523,2511,3216,0.1
524,3743,5006,0.1
525,1764,2566,-1.0
526,26,4926,0.1
527,2217,1354,0.1
528,2128,313,0.1
529,5479,3646,0.4
530,310,589,0.2
531,3497,3564,0.2
532,313,270,-1.0
533,321,18,-1.0
534,2876,2635,0.1
535,2996,4092,0.1
536,1240,6,0.1
537,1756,2179,0.1
538,1576,145,0.2
539,3800,5508,-1.0
540,1421,1341,0.5
541,163,4829,0.3
542,2668,864,0.1
543,609,587,0.1
544,2349,2146,0.1
545,3711,4571,-1.0
546,3093,3639,0.2
547,26,1751,0.1
548,200,163,0.2
549,4358,4641,-1.0
550,98,5475,-0.1
551,3951,4302,0.1
552,1853,2077,0.4
553,5355,3258,0.1
554,190,73,0.2
555,4092,4778,-1.0
556,3250,3150,0.1
557,589,132,0.4
558,3379,4741,0.1
559,1789,27,0.1
560,2338,4444,0.2
561,1786,4092,0.3
562,2545,4642,0.1
563,1764,4656,-1.0
564,3819,84,0.1
565,2587,3310,0.1
566,4323,4316,0.1
567,1357,1764,0.1
568,1914,26,0.1
569,4092,5115,0.1
570,5319,5682,-0.7
571,2690,2693,0.3
572,4559,5386,-1.0
573,894,1519,0.1
574,2196,3297,0.1
575,1764,4727,-1.0
576,2492,2488,0.3
577,4356,2587,0.1
578,2354,4115,0.1
579,2062,4545,0.1
580,2070,2233,0.1
581,591,462,0.1
582,4974,4979,0.1
583,1764,1568,0.3
584,1981,2765,0.1
585,3070,2587,0.2
586,4376,4115,0.2
587,24,3800,0.1
588,2512,2516,0.2
589,2254,3379,0.1
590,3819,4248,0.1
591,4123,5134,0.1
592,1456,1668,0.1
593,977,1610,0.1
594,3555,5119,1.0
595,1764,2225,0.3
596,2366,1907,0.1
597,1341,111,0.1
598,2110,2338,0.1
599,5432,98,-0.1
600,4509,2587,0.1
601,2580,2700,0.1
602,1907,3336,-1.0
603,424,398,0.1
604,4206,864,0.1
605,4514,2884,0.4
606,510,3910,0.1
607,2433,2591,0.1
608,401,422,0.3
609,1467,1344,0.1
610,4583,4545,-1.0
611,5032,3751,0.2
612,2941,2570,0.1
613,5556,5502,0.5
614,5104,1907,-1.0
615,506,3638,0.3
616,4423,3352,0.2
617,2836,1853,0.1
618,313,264,0.1
619,2341,1876,0.1
620,2077,3252,0.1
621,2320,864,0.1
622,1276,1326,0.1
623,3114,452,0.1
624,1284,739,0.1
625,2020,3751,0.1
626,4427,5520,1.0
627,2328,26,0.1
628,1786,4672,0.1
629,2587,3601,0.1
630,3199,2839,0.2
631,3128,3177,0.1
632,714,693,0.5
633,505,1522,-0.1
634,1220,1219,1.0
635,5427,5436,-1.0
636,937,183,0.2
637,1875,1764,0.2
638,4574,4556,1.0
639,734,803,0.2
640,2264,4917,0.1
641,5584,5545,0.5
642,8,0,1.0
643,5825,5835,0.2
644,1610,1541,0.2
645,1144,3372,0.1
646,3247,3260,0.2
647,1428,1354,0.1
648,1629,1522,0.1
649,2592,3767,0.3
650,1344,0,0.8
651,5314,2241,0.3
652,2042,176,0.2
653,3386,3445,0.2
654,5550,5689,0.1
655,1763,736,0.1
656,4929,4933,0.1
657,1762,1742,0.1
658,1275,269,0.2
659,1089,669,0.1
660,4018,977,0.1
661,864,3643,1.0
662,2974,4092,0.1
663,3910,4698,0.5
664,1764,2550,0.1
665,4109,3743,0.2
666,3946,3844,0.2
667,4577,4593,0.1
668,4115,2884,0.3
669,1965,1764,0.5
670,3344,3268,0.1
671,2753,2266,0.1
672,1996,1797,0.1
673,1764,4145,0.1
674,3523,3985,-1.0
675,4736,4987,0.2
676,1764,1673,0.2
677,4092,4466,0.2
678,572,258,0.5
679,3391,1610,-1.0
680,4427,5512,0.2
681,688,1698,0.1
682,3032,176,0.1
683,3453,4560,0.1
684,1344,1783,0.1
685,1352,977,0.1
686,2884,1853,0.2
687,4775,5222,0.2
688,1456,1629,0.1
689,1668,1160,0.3
690,3309,1804,0.1
691,4591,4590,0.1
692,4798,4466,0.1
693,4896,4924,0.5
694,427,423,0.1
695,864,2247,0.1
696,2770,1907,0.1
697,1344,2650,-1.0
698,2884,5733,0.1
699,864,1534,0.1
700,2218,2247,0.3
701,1574,1522,0.5
702,2916,3317,0.1
703,1644,791,-1.0
704,3040,4294,0.2
705,1998,4504,0.1
706,2778,2062,0.1
707,1404,240,0.1
708,205,210,0.1
709,1527,1341,0.1
710,2725,2592,0.1
711,1764,3525,-0.9
712,4397,2884,-0.1
713,3114,3119,0.1
714,4515,4534,0.1
715,4303,4206,0.1
716,1874,1764,0.1
717,1344,829,-0.1
718,3062,3886,0.1
719,3910,5534,-0.1
720,2616,2574,1.0
721,355,98,-1.0
722,3743,429,0.1
723,26,5762,0.2
724,1240,1571,0.2
725,506,4342,0.1
726,876,300,0.3
727,4471,5066,-1.0
728,1998,5413,-0.1
729,2125,132,0.1
730,159,882,0.1
731,739,19,0.2
732,2282,2150,0.1
733,4219,5504,0.1
734,5429,5064,0.1
735,3573,4444,0.1
736,880,310,0.1
737,148,98,0.1
738,2884,3691,0.1
739,1665,1571,0.1
740,3751,3638,0.2
741,1551,1582,0.1
742,216,127,0.2
743,310,0,0.1
744,3164,1764,0.2
745,569,537,0.1
746,2338,313,0.1
747,1121,52,0.1
748,3910,3643,0.1
749,3716,4576,-1.0
750,2929,1907,0.1
751,26,1072,0.2
752,3841,5363,0.2
753,163,597,0.2
754,4316,4407,0.1
755,269,132,0.1
756,2511,4466,0.1
757,4161,4960,0.1
758,3819,321,0.1
759,3426,3955,1.0
760,42,203,0.5
761,1483,1599,0.1
762,613,640,0.1
763,4175,3751,0.2
764,545,159,0.1
765,1521,1447,0.1
766,2096,2065,0.2
767,422,434,0.2
768,864,4898,0.1
769,734,1746,0.1
770,1469,4768,0.1
771,108,3844,0.1
772,1981,2886,0.3
773,285,75,0.5
774,1704,3850,0.2
775,1357,2025,0.1
776,1334,269,0.1
777,3684,3714,-1.0
778,3714,4596,-1.0
779,1571,2273,0.2
780,4034,4206,0.2
781,2128,2077,0.4
782,209,736,0.1
783,5386,3751,1.0
784,584,1226,0.1
785,3898,3046,0.1
786,217,282,0.4
787,593,747,0.1
788,1907,3802,0.2
789,3841,5509,-0.1
790,1594,1764,0.5
791,2778,2347,0.1
792,808,526,0.1
793,4206,1840,0.1
794,3932,2587,0.1
795,91,79,0.1
796,346,589,0.1
797,3062,1697,0.1
798,2077,2226,0.1
799,26,3111,0.1
800,1160,864,0.4
801,1486,2598,0.1
802,270,163,0.1
803,2654,1981,0.3
804,791,729,0.2
805,3671,3584,0.1
806,26,1777,0.2
807,5730,5134,0.1
808,1415,1176,0.1
809,230,356,0.1
810,1293,3378,0.1
811,3555,3378,0.1
812,1444,1522,0.3
813,2077,3395,0.1
814,3564,5087,0.1
815,2085,1946,0.1
816,2822,2338,0.1
817,3573,5433,0.1
818,1176,1121,0.1
819,2077,3819,0.1
820,4578,4586,0.1
821,2311,499,0.1
822,1160,688,0.3
823,853,310,0.2
824,1571,0,0.9
825,4147,3472,0.1
826,801,789,0.1
827,3294,3046,0.1
828,1334,59,0.1
829,4717,3670,0.1
830,483,1781,0.1
831,1756,1341,-1.0
832,4895,864,0.5
833,55,0,0.2
834,1646,1176,0.2
835,1118,977,0.2
836,3378,3826,0.1
837,3565,3191,0.1
838,1947,1794,0.2
839,4552,4515,0.1
840,3687,3686,0.1
841,4039,4196,0.3
842,1344,319,0.2
843,3161,1764,0.1
844,2077,5013,-1.0
845,5444,4775,0.1
846,2839,2803,0.5
847,452,310,0.2
848,3015,2953,0.1
849,1344,2062,0.1
850,2469,1853,0.1
851,1521,1576,0.3
852,4471,2654,0.1
853,2702,2587,0.1
854,3978,2511,0.3
855,1711,1764,0.2
856,3857,4313,0.1
857,2669,2903,0.1
858,1157,1188,0.1
859,3713,1970,-1.0
860,3170,3172,0.1
861,2839,3754,0.2
862,1756,1181,0.1
863,4545,3819,0.2
864,1706,1293,0.1
865,217,374,0.4
866,2338,2955,0.3
867,3020,3271,0.1
868,2938,240,0.1
869,804,444,0.1
870,864,497,0.1
871,4829,163,0.1
872,2580,2893,0.1
873,1291,1271,0.1
874,691,871,0.2
875,35,4092,0.1
876,3638,441,1.0
877,483,661,0.1
878,2214,2570,0.1
879,4672,3623,0.1
880,3354,2974,0.2
881,3922,2303,0.1
882,4807,4471,0.1
883,551,188,0.1
884,24,3728,0.2
885,1685,2834,0.2
886,1447,1293,0.1
887,2127,4092,0.1
888,2839,3077,-1.0
889,1998,2212,0.1
890,2819,592,-0.1
891,684,1344,0.2
892,4497,2077,0.2
893,6,993,0.2
894,4917,3674,0.1
895,3712,4617,-1.0
896,2748,2755,0.1
897,1306,1524,0.1
898,2844,2845,0.5
899,5269,5108,-1.0
900,2387,3274,0.1
901,5766,26,0.8
902,4571,4576,0.3
903,3994,3870,0.1
904,2369,2241,0.1
905,1310,2006,0.2
906,1800,1916,0.1
907,4471,4248,0.1
908,4489,977,0.2
909,2283,2284,0.2
910,1089,1002,0.1
911,2077,3293,0.1
912,684,187,0.2
913,3952,3523,0.1
914,1849,506,0.2
915,3188,3819,0.2
916,3019,3062,1.0
917,2342,4514,0.1
918,1907,2929,0.1
919,2884,2587,0.4
920,2530,2549,0.1
921,5382,2748,-0.1
922,4521,5316,0.1
923,1521,1700,0.1
924,4471,5100,-1.0
925,5104,4471,-1.0
926,1981,2859,0.1
927,3372,4528,0.5
928,5087,3631,0.1
929,1853,1854,0.1
930,1181,170,0.2
931,5363,1275,0.2
932,3910,5532,-0.5
933,5100,4471,-1.0
934,1354,2062,0.4
935,3126,2587,0.2
936,2338,3257,0.1
937,5512,5673,-1.0
938,1145,716,0.4
939,3718,4443,-1.0
940,4677,2264,0.1
941,684,726,0.1
942,455,569,0.1
943,255,824,0.3
944,3119,3114,-0.3
945,983,867,0.5
946,2530,2568,0.8
947,2733,2725,0.1
948,2778,2901,0.2
949,3404,4039,0.1
950,4121,2020,0.1
951,2876,4658,-1.0
952,26,2135,0.2
953,2020,2577,-1.0
954,606,610,0.1
955,3062,3667,0.1
956,26,3620,0.1
957,3062,4255,0.1
958,3751,3760,0.1
959,176,163,0.6
960,4047,26,0.1
961,1500,2092,0.2
962,2245,1500,-1.0
963,740,216,0.1
964,1521,3275,0.1
965,2269,1804,0.2
966,69,1998,0.3
967,4471,41,0.2
968,121,10,0.2
969,1853,4277,0.1
970,26,58,0.1
971,2126,1293,0.1
972,1276,2133,0.1
973,4604,4826,0.1
974,2669,2988,0.1
975,1625,1571,0.1
976,2587,3382,0.1
977,2587,2675,0.2
978,3659,4138,0.1
979,2025,2139,0.2
980,3275,4471,0.1
981,3771,3032,0.1
982,2682,2685,0.1
983,3294,3375,0.1
984,3294,3397,0.2
985,2037,2175,-0.1
986,2247,688,0.1
987,1513,505,0.4
988,1998,3646,-0.2
989,313,1369,0.1
990,4471,5532,-1.0
991,1354,864,0.4
992,864,2093,0.1
993,3016,1907,0.1
994,1647,1485,0.1
995,4163,190,0.1
996,2354,3900,0.1
997,5053,4473,0.1
998,3275,3631,-1.0
999,1293,1973,0.1
1000,592,575,0.1
1001,2587,2995,0.4
1002,3940,3807,0.1
1003,2338,5378,-1.0
1004,3044,2587,0.1
1005,606,1602,-0.1
1006,26,3214,0.1
1007,453,10,0.3
1008,2876,4617,-1.0
1009,888,536,0.1
1010,163,593,0.1
1011,2077,44,-0.8
1012,2939,2020,0.2
1013,2354,3809,0.1
1014,3825,4608,0.1
1015,995,415,0.1
1016,269,1707,-1.0
1017,681,1567,0.1
1018,2338,5666,0.1
1019,2974,5529,0.1
1020,4092,4115,0.3
1021,734,1607,0.1
1022,1293,1430,0.1
1023,4216,4434,0.2
1024,111,1277,0.2
1025,1850,1907,0.3
1026,4182,3753,0.1
1027,867,983,0.3
1028,176,284,0.1
1029,1176,2848,0.1
1030,896,1853,0.1
1031,4697,993,0.1
1032,4741,5166,0.2
1033,1568,1839,0.2
1034,510,1521,0.1
1035,3592,3378,0.1
1036,2839,2834,0.1
1037,4921,3926,0.1
1038,1706,1610,0.1
1039,1909,1850,0.1
1040,3566,4348,0.1
1041,2077,1341,-0.5
1042,248,176,0.1
1043,1898,1698,0.1
1044,3719,4596,-1.0
1045,4206,441,0.1
1046,264,1718,0.4
1047,3212,2070,0.8
1048,2738,1610,0.1
1049,1814,1853,0.5
1050,1540,2166,0.1
1051,1981,2901,0.2
1052,4056,176,0.4
1053,471,0,0.1
1054,554,387,0.1
1055,177,1907,0.1
1056,144,142,0.2
1057,26,935,0.1
1058,5158,864,0.1
1059,3670,4545,0.3
1060,163,2136,0.1
1061,1981,2169,0.1
1062,2111,506,0.3
1063,3711,4591,-1.0
1064,881,684,0.1
1065,506,5863,0.1
1066,3024,1907,0.3
1067,5269,5301,-1.0
1068,4690,5429,0.1
1069,5347,4092,-1.0
1070,1344,385,0.9
1071,1717,1354,0.1
1072,3719,4643,-1.0
1073,1689,3250,0.2
1074,26,334,0.1
1075,1276,1324,0.3
1076,1652,1522,0.1
1077,2077,5144,-0.2
1078,4450,3379,0.1
1079,977,3969,0.1
1080,3564,4431,-0.1
1081,1738,691,0.2
1082,359,610,0.1
1083,1769,4585,-1.0
1084,26,1678,0.1
1085,3668,2876,1.0
1086,2354,4259,0.1
1087,2790,2752,0.1
1088,2632,3170,0.1
1089,1624,3646,0.2
1090,3573,3958,0.1
1091,5512,4559,0.1
1092,230,412,0.1
1093,514,3960,0.1
1094,6,370,-0.1
1095,255,216,0.3
1096,4325,4216,0.1
1097,2707,2839,0.1
1098,567,791,0.1
1099,4219,4748,0.1
1100,4235,4792,0.8
1101,2916,864,0.1
1102,848,719,0.5
1103,356,589,0.2
1104,977,1576,0.1
1105,1222,1176,0.1
1106,616,529,0.2
1107,26,2478,-1.0
1108,17,23,0.1
1109,3709,1764,1.0
1110,26,3732,0.1
1111,10,26,0.3
1112,3453,5353,-1.0
1113,3127,1981,0.1
1114,2988,2247,0.3
1115,4267,4545,0.1
1116,3062,4628,0.1
1117,4413,3819,0.4
1118,1998,2133,0.1
1119,4199,4521,0.1
1120,3591,3572,0.3
1121,3396,5648,0.5
1122,864,1989,0.1
1123,5135,5192,0.1
1124,3705,4075,0.5
1125,785,786,0.1
1126,734,1312,0.8
1127,3717,4571,-1.0
1128,1522,1576,0.3
1129,2247,3371,0.1
1130,240,1804,-0.3
1131,323,4092,0.5
1132,26,1389,0.1
1133,2727,3357,0.1
1134,132,977,0.1
1135,3453,4181,0.1
1136,5106,5104,-1.0
1137,630,279,0.1
1138,2626,2627,1.0
1139,977,864,0.1
1140,3580,2570,0.1
1141,313,2884,0.2
1142,1310,5549,-0.1
1143,3062,3866,0.1
1144,4295,26,0.2
1145,1522,1541,0.3
1146,2247,4289,-1.0
1147,1037,1046,0.2
1148,2580,2266,0.1
1149,1344,1630,0.1
1150,2592,3058,1.0
1151,1698,1281,0.1
1152,347,1125,0.1
1153,2077,5074,-1.0
1154,2732,3191,0.1
1155,4161,240,0.2
1156,0,231,0.1
1157,506,1588,0.1
1158,2782,3152,0.1
1159,120,591,0.1
1160,1647,1459,0.1
1161,98,2902,-0.5
1162,4460,3201,0.1
1163,3638,5221,0.1
1164,1629,2077,0.1
1165,3503,4605,0.1
1166,2771,2580,0.1
1167,497,106,0.1
1168,688,594,0.1
1169,1725,18,1.0
1170,4373,2884,0.1
1171,4413,5797,0.1
1172,1907,2796,0.2
1173,1034,719,0.5
1174,734,1240,0.1
1175,510,2672,0.1
1176,152,1250,0.1
1177,4550,26,0.2
1178,2062,2077,0.1
1179,2350,1698,0.1
1180,2593,2535,0.1
1181,441,3683,-1.0
1182,4604,2949,0.1
1183,977,5758,0.3
1184,2819,248,-0.1
1185,691,428,0.3
1186,26,1823,0.1
1187,26,4785,0.1
1188,1300,841,0.1
1189,4535,4404,0.1
1190,2302,3668,-1.0
